repo,language,stars,license,snapshot_date
karpathy/nanochat,Python,42379,MIT,2026-02-06
mitmproxy/mitmproxy,Python,42196,MIT,2026-02-06
9001/copyparty,Python,42183,MIT,2026-02-06
apachecn/ailearning,Python,42021,NOASSERTION,2026-02-06
mingrammer/diagrams,Python,41994,MIT,2026-02-06
hiroi-sora/Umi-OCR,Python,41951,MIT,2026-02-06
gradio-app/gradio,Python,41589,Apache-2.0,2026-02-06
deepspeedai/DeepSpeed,Python,41551,Apache-2.0,2026-02-06
psf/black,Python,41356,MIT,2026-02-06
hpcaitech/ColossalAI,Python,41336,Apache-2.0,2026-02-06
zai-org/ChatGLM-6B,Python,41224,Apache-2.0,2026-02-06
ray-project/ray,Python,41166,Apache-2.0,2026-02-06
zhayujie/chatgpt-on-wechat,Python,41114,MIT,2026-02-06
exo-explore/exo,Python,41089,Apache-2.0,2026-02-06
chubin/cheat.sh,Python,40873,MIT,2026-02-06
ccxt/ccxt,Python,40838,MIT,2026-02-06
Aider-AI/aider,Python,40388,Apache-2.0,2026-02-06
google-research/bert,Python,39836,Apache-2.0,2026-02-06
floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,39466,NOASSERTION,2026-02-06
lm-sys/FastChat,Python,39391,Apache-2.0,2026-02-06
QuivrHQ/quivr,Python,38917,NOASSERTION,2026-02-06
jingyaogong/minimind,Python,38861,Apache-2.0,2026-02-06
2noise/ChatTTS,Python,38662,AGPL-3.0,2026-02-06
mindsdb/mindsdb,Python,38409,NOASSERTION,2026-02-06
gto76/python-cheatsheet,Python,38207,NOASSERTION,2026-02-06
agno-agi/agno,Python,37611,Apache-2.0,2026-02-06
httpie/cli,Python,37483,BSD-3-Clause,2026-02-06
LAION-AI/Open-Assistant,Python,37455,Apache-2.0,2026-02-06
TencentARC/GFPGAN,Python,37382,NOASSERTION,2026-02-06
chatchat-space/Langchain-Chatchat,Python,37255,Apache-2.0,2026-02-06
0voice/interview_internal_reference,Python,37167,NOASSERTION,2026-02-06
openai/gym,Python,37019,NOASSERTION,2026-02-06
microsoft/qlib,Python,36919,MIT,2026-02-06
satwikkansal/wtfpython,Python,36888,WTFPL,2026-02-06
babysor/MockingBird,Python,36870,NOASSERTION,2026-02-06
ManimCommunity/manim,Python,36662,MIT,2026-02-06
sqlmapproject/sqlmap,Python,36506,NOASSERTION,2026-02-06
roboflow/supervision,Python,36442,MIT,2026-02-06
paperless-ngx/paperless-ngx,Python,36350,GPL-3.0,2026-02-06
huggingface/pytorch-image-models,Python,36328,Apache-2.0,2026-02-06
vnpy/vnpy,Python,36225,MIT,2026-02-06
