repo,language,stars,license,snapshot_date
karpathy/nanochat,Python,42376,MIT,2026-02-06
mitmproxy/mitmproxy,Python,42196,MIT,2026-02-06
9001/copyparty,Python,42179,MIT,2026-02-06
apachecn/ailearning,Python,42021,NOASSERTION,2026-02-06
mingrammer/diagrams,Python,41993,MIT,2026-02-06
hiroi-sora/Umi-OCR,Python,41949,MIT,2026-02-06
gradio-app/gradio,Python,41591,Apache-2.0,2026-02-06
deepspeedai/DeepSpeed,Python,41551,Apache-2.0,2026-02-06
psf/black,Python,41355,MIT,2026-02-06
hpcaitech/ColossalAI,Python,41336,Apache-2.0,2026-02-06
zai-org/ChatGLM-6B,Python,41224,Apache-2.0,2026-02-06
ray-project/ray,Python,41166,Apache-2.0,2026-02-06
zhayujie/chatgpt-on-wechat,Python,41112,MIT,2026-02-06
exo-explore/exo,Python,41089,Apache-2.0,2026-02-06
chubin/cheat.sh,Python,40873,MIT,2026-02-06
ccxt/ccxt,Python,40837,MIT,2026-02-06
Aider-AI/aider,Python,40387,Apache-2.0,2026-02-06
google-research/bert,Python,39835,Apache-2.0,2026-02-06
floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,39466,NOASSERTION,2026-02-06
lm-sys/FastChat,Python,39392,Apache-2.0,2026-02-06
QuivrHQ/quivr,Python,38917,NOASSERTION,2026-02-06
jingyaogong/minimind,Python,38858,Apache-2.0,2026-02-06
2noise/ChatTTS,Python,38662,AGPL-3.0,2026-02-06
mindsdb/mindsdb,Python,38407,NOASSERTION,2026-02-06
gto76/python-cheatsheet,Python,38205,NOASSERTION,2026-02-06
agno-agi/agno,Python,37609,Apache-2.0,2026-02-06
httpie/cli,Python,37483,BSD-3-Clause,2026-02-06
LAION-AI/Open-Assistant,Python,37455,Apache-2.0,2026-02-06
TencentARC/GFPGAN,Python,37382,NOASSERTION,2026-02-06
chatchat-space/Langchain-Chatchat,Python,37254,Apache-2.0,2026-02-06
0voice/interview_internal_reference,Python,37167,NOASSERTION,2026-02-06
openai/gym,Python,37019,NOASSERTION,2026-02-06
microsoft/qlib,Python,36916,MIT,2026-02-06
satwikkansal/wtfpython,Python,36888,WTFPL,2026-02-06
babysor/MockingBird,Python,36869,NOASSERTION,2026-02-06
ManimCommunity/manim,Python,36660,MIT,2026-02-06
sqlmapproject/sqlmap,Python,36504,NOASSERTION,2026-02-06
roboflow/supervision,Python,36443,MIT,2026-02-06
paperless-ngx/paperless-ngx,Python,36349,GPL-3.0,2026-02-06
huggingface/pytorch-image-models,Python,36328,Apache-2.0,2026-02-06
vnpy/vnpy,Python,36220,MIT,2026-02-06
hankcs/HanLP,Python,36120,Apache-2.0,2026-02-06
XingangPan/DragGAN,Python,35978,NOASSERTION,2026-02-06
chatanywhere/GPT_API_free,Python,35953,MIT,2026-02-06
myshell-ai/OpenVoice,Python,35899,MIT,2026-02-06
BerriAI/litellm,Python,35371,NOASSERTION,2026-02-06
666ghj/BettaFish,Python,35359,GPL-2.0,2026-02-06
jax-ml/jax,Python,34804,Apache-2.0,2026-02-06
fxsjy/jieba,Python,34741,MIT,2026-02-06
geekcomputers/Python,Python,34711,MIT,2026-02-06
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,Python,34314,MIT,2026-02-06
mouredev/Hello-Python,Python,34282,Apache-2.0,2026-02-06
chenfei-wu/TaskMatrix,Python,34281,NOASSERTION,2026-02-06
python-poetry/poetry,Python,34186,MIT,2026-02-06
testerSunshine/12306,Python,34177,MIT,2026-02-06
xinntao/Real-ESRGAN,Python,34176,BSD-3-Clause,2026-02-06
Textualize/textual,Python,34107,MIT,2026-02-06
facebookresearch/detectron2,Python,34048,Apache-2.0,2026-02-06
Pythagora-io/gpt-pilot,Python,33761,NOASSERTION,2026-02-06
shadowsocks/shadowsocks,Python,33640,NOASSERTION,2026-02-06
lllyasviel/ControlNet,Python,33621,Apache-2.0,2026-02-06
XX-net/XX-Net,Python,33419,NOASSERTION,2026-02-06
explosion/spaCy,Python,33167,MIT,2026-02-06
certbot/certbot,Python,32806,NOASSERTION,2026-02-06
huggingface/diffusers,Python,32704,Apache-2.0,2026-02-06
ocrmypdf/OCRmyPDF,Python,32514,MPL-2.0,2026-02-06
khoj-ai/khoj,Python,32436,AGPL-3.0,2026-02-06
open-mmlab/mmdetection,Python,32374,Apache-2.0,2026-02-06
yunjey/pytorch-tutorial,Python,32162,MIT,2026-02-06
0xAX/linux-insides,Python,32159,NOASSERTION,2026-02-06
facebookresearch/fairseq,Python,32138,MIT,2026-02-06
stanfordnlp/dspy,Python,32044,MIT,2026-02-06
PDFMathTranslate/PDFMathTranslate,Python,31715,AGPL-3.0,2026-02-06
frappe/erpnext,Python,31563,GPL-3.0,2026-02-06
