repo,html_url,stars,language
angular/angular,https://github.com/angular/angular,99813,TypeScript
anomalyco/opencode,https://github.com/anomalyco/opencode,99767,TypeScript
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,98578,JavaScript
mui/material-ui,https://github.com/mui/material-ui,97776,JavaScript
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,97751,Dockerfile
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,97732,
ant-design/ant-design,https://github.com/ant-design/ant-design,97462,TypeScript
supabase/supabase,https://github.com/supabase/supabase,97340,TypeScript
pytorch/pytorch,https://github.com/pytorch/pytorch,97230,Python
2dust/v2rayN,https://github.com/2dust/v2rayN,96412,C#
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,96339,TypeScript
neovim/neovim,https://github.com/neovim/neovim,96307,Vim Script
nvbn/thefuck,https://github.com/nvbn/thefuck,95421,Python
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,95258,JavaScript
fastapi/fastapi,https://github.com/fastapi/fastapi,94885,Python
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,94593,C++
openai/whisper,https://github.com/openai/whisper,94305,Python
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94289,JavaScript
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,93883,TypeScript
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93698,Java
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,93518,TypeScript
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,93413,TypeScript
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,92607,Python
immich-app/immich,https://github.com/immich-app/immich,91938,TypeScript
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,91828,
nvm-sh/nvm,https://github.com/nvm-sh/nvm,91565,Shell
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,90299,Vue
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,90179,
storybookjs/storybook,https://github.com/storybookjs/storybook,89209,TypeScript
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,87995,C++
gin-gonic/gin,https://github.com/gin-gonic/gin,87920,Go
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,87248,TypeScript
oven-sh/bun,https://github.com/oven-sh/bun,87154,Zig
django/django,https://github.com/django/django,86703,Python
microsoft/markitdown,https://github.com/microsoft/markitdown,86562,Python
gohugoio/hugo,https://github.com/gohugoio/hugo,86452,Go
opencv/opencv,https://github.com/opencv/opencv,86094,C++
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,85900,TypeScript
sveltejs/svelte,https://github.com/sveltejs/svelte,85712,JavaScript
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,84789,Jupyter Notebook
home-assistant/core,https://github.com/home-assistant/core,84669,Python
3b1b/manim,https://github.com/3b1b/manim,84339,Python
ruanyf/weekly,https://github.com/ruanyf/weekly,83716,
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,83591,Jupyter Notebook
laravel/laravel,https://github.com/laravel/laravel,83579,Blade
macrozheng/mall,https://github.com/macrozheng/mall,82875,Java
realworld-apps/realworld,https://github.com/realworld-apps/realworld,82804,TypeScript
animate-css/animate.css,https://github.com/animate-css/animate.css,82638,CSS
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,82503,JavaScript
MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,82437,
microsoft/playwright,https://github.com/microsoft/playwright,82286,TypeScript
tonsky/FiraCode,https://github.com/tonsky/FiraCode,81130,Clojure
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,80882,Python
DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,80792,
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,80485,
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,80326,TypeScript
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,79863,Java
syncthing/syncthing,https://github.com/syncthing/syncthing,79708,Go
ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,79408,
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,79294,Python
fighting41love/funNLP,https://github.com/fighting41love/funNLP,78876,Python
doocs/advanced-java,https://github.com/doocs/advanced-java,78821,Java
astral-sh/uv,https://github.com/astral-sh/uv,78796,Rust
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,78255,JavaScript
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,78223,TypeScript
vitejs/vite,https://github.com/vitejs/vite,78030,TypeScript
browser-use/browser-use,https://github.com/browser-use/browser-use,77990,Python
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,77801,TypeScript
tensorflow/models,https://github.com/tensorflow/models,77691,Python
netdata/netdata,https://github.com/netdata/netdata,77676,C
junegunn/fzf,https://github.com/junegunn/fzf,77615,Go
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,77115,C++
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76701,Java
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,76311,JavaScript
coder/code-server,https://github.com/coder/code-server,76155,TypeScript
elastic/elasticsearch,https://github.com/elastic/elasticsearch,76027,Java
typicode/json-server,https://github.com/typicode/json-server,75629,JavaScript
sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,75599,
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,75497,Python
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,75015,Python
zed-industries/zed,https://github.com/zed-industries/zed,74934,Rust
mlabonne/llm-course,https://github.com/mlabonne/llm-course,74786,
localsend/localsend,https://github.com/localsend/localsend,74558,Dart
nestjs/nest,https://github.com/nestjs/nest,74482,TypeScript
unionlabs/union,https://github.com/unionlabs/union,74342,Rust
ventoy/Ventoy,https://github.com/ventoy/Ventoy,74339,C
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,73898,TypeScript
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,73639,
infiniflow/ragflow,https://github.com/infiniflow/ragflow,72951,Python
redis/redis,https://github.com/redis/redis,72816,C
awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,72659,
twitter/the-algorithm,https://github.com/twitter/the-algorithm,72638,Scala
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,72532,Python
CompVis/stable-diffusion,https://github.com/CompVis/stable-diffusion,72354,Jupyter Notebook
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,72286,C++
thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,72119,
lobehub/lobehub,https://github.com/lobehub/lobehub,72058,TypeScript
grafana/grafana,https://github.com/grafana/grafana,72056,TypeScript
enaqx/awesome-react,https://github.com/enaqx/awesome-react,71896,
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,71878,Go
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,71610,Python
