repo,html_url,stars,language
odoo/odoo,https://github.com/odoo/odoo,48881,Python
nlohmann/json,https://github.com/nlohmann/json,48799,C++
lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,48710,TypeScript
huginn/huginn,https://github.com/huginn/huginn,48662,Ruby
dkhamsing/open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,48657,
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,48590,Java
iamkun/dayjs,https://github.com/iamkun/dayjs,48540,JavaScript
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48523,Java
TanStack/query,https://github.com/TanStack/query,48429,TypeScript
jellyfin/jellyfin,https://github.com/jellyfin/jellyfin,48363,C#
algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,48360,JavaScript
JuliaLang/julia,https://github.com/JuliaLang/julia,48334,Julia
moment/moment,https://github.com/moment/moment,48075,JavaScript
pandas-dev/pandas,https://github.com/pandas-dev/pandas,47826,Python
x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,47699,C++
lllyasviel/Fooocus,https://github.com/lllyasviel/Fooocus,47674,Python
type-challenges/type-challenges,https://github.com/type-challenges/type-challenges,47636,TypeScript
hashicorp/terraform,https://github.com/hashicorp/terraform,47622,Go
minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,47585,Python
gogs/gogs,https://github.com/gogs/gogs,47535,Go
kamranahmedse/design-patterns-for-humans,https://github.com/kamranahmedse/design-patterns-for-humans,47506,
karan/Projects,https://github.com/karan/Projects,47386,
bigskysoftware/htmx,https://github.com/bigskysoftware/htmx,47382,JavaScript
serhii-londar/open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,47310,
kelseyhightower/kubernetes-the-hard-way,https://github.com/kelseyhightower/kubernetes-the-hard-way,47301,
skylot/jadx,https://github.com/skylot/jadx,47224,Java
expo/expo,https://github.com/expo/expo,47065,TypeScript
serverless/serverless,https://github.com/serverless/serverless,46951,JavaScript
akullpp/awesome-java,https://github.com/akullpp/awesome-java,46949,
typescript-cheatsheets/react,https://github.com/typescript-cheatsheets/react,46939,JavaScript
obra/superpowers,https://github.com/obra/superpowers,46933,Shell
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,46928,Go
square/okhttp,https://github.com/square/okhttp,46868,Kotlin
run-llama/llama_index,https://github.com/run-llama/llama_index,46856,Python
slab/quill,https://github.com/slab/quill,46822,TypeScript
mem0ai/mem0,https://github.com/mem0ai/mem0,46810,Python
ChrisTitusTech/winutil,https://github.com/ChrisTitusTech/winutil,46784,PowerShell
brillout/awesome-react-components,https://github.com/brillout/awesome-react-components,46756,
jakevdp/PythonDataScienceHandbook,https://github.com/jakevdp/PythonDataScienceHandbook,46720,Jupyter Notebook
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,46576,Python
pixijs/pixijs,https://github.com/pixijs/pixijs,46564,TypeScript
1c7/chinese-independent-developer,https://github.com/1c7/chinese-independent-developer,46532,
Homebrew/brew,https://github.com/Homebrew/brew,46531,Ruby
ggml-org/whisper.cpp,https://github.com/ggml-org/whisper.cpp,46529,C++
discourse/discourse,https://github.com/discourse/discourse,46248,Ruby
GokuMohandas/Made-With-ML,https://github.com/GokuMohandas/Made-With-ML,46202,Jupyter Notebook
ziishaned/learn-regex,https://github.com/ziishaned/learn-regex,46165,
Asabeneh/30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,46051,JavaScript
oobabooga/text-generation-webui,https://github.com/oobabooga/text-generation-webui,46020,Python
DovAmir/awesome-design-patterns,https://github.com/DovAmir/awesome-design-patterns,45932,
dypsilon/frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,45930,
metabase/metabase,https://github.com/metabase/metabase,45877,Clojure
ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,45715,C++
sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,45703,Python
virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,45650,Python
tw93/Pake,https://github.com/tw93/Pake,45636,Rust
astral-sh/ruff,https://github.com/astral-sh/ruff,45627,Rust
acmesh-official/acme.sh,https://github.com/acmesh-official/acme.sh,45624,Shell
OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut,45580,TypeScript
android/architecture-samples,https://github.com/android/architecture-samples,45543,Kotlin
microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,45529,JavaScript
makeplane/plane,https://github.com/makeplane/plane,45438,TypeScript
LeCoupa/awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,45309,JavaScript
ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,45293,CSS
jestjs/jest,https://github.com/jestjs/jest,45283,TypeScript
prisma/prisma,https://github.com/prisma/prisma,45246,TypeScript
microsoft/AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,45224,Jupyter Notebook
jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,45192,Java
google/zx,https://github.com/google/zx,45130,JavaScript
tldraw/tldraw,https://github.com/tldraw/tldraw,45115,TypeScript
GitHubDaily/GitHubDaily,https://github.com/GitHubDaily/GitHubDaily,45085,
upstash/context7,https://github.com/upstash/context7,45045,TypeScript
coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows,44849,Go
meteor/meteor,https://github.com/meteor/meteor,44771,JavaScript
isocpp/CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,44752,CSS
vercel/hyper,https://github.com/vercel/hyper,44688,TypeScript
bevyengine/bevy,https://github.com/bevyengine/bevy,44529,Rust
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,44526,TypeScript
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,44492,TypeScript
coqui-ai/TTS,https://github.com/coqui-ai/TTS,44477,Python
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,44470,JavaScript
grpc/grpc,https://github.com/grpc/grpc,44322,C++
pyenv/pyenv,https://github.com/pyenv/pyenv,44228,Shell
slidevjs/slidev,https://github.com/slidevjs/slidev,44218,TypeScript
sudheerj/reactjs-interview-questions,https://github.com/sudheerj/reactjs-interview-questions,44203,JavaScript
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,44188,Go
apache/airflow,https://github.com/apache/airflow,44176,Python
KRTirtho/spotube,https://github.com/KRTirtho/spotube,44174,Dart
penpot/penpot,https://github.com/penpot/penpot,44116,Clojure
GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,44091,JavaScript
NaiboWang/EasySpider,https://github.com/NaiboWang/EasySpider,44057,JavaScript
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,44041,JavaScript
streamich/react-use,https://github.com/streamich/react-use,43931,TypeScript
gedoor/legado,https://github.com/gedoor/legado,43909,Kotlin
babel/babel,https://github.com/babel/babel,43878,TypeScript
square/retrofit,https://github.com/square/retrofit,43871,HTML
yangshun/front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,43835,MDX
aymericdamien/TensorFlow-Examples,https://github.com/aymericdamien/TensorFlow-Examples,43804,Jupyter Notebook
docker/awesome-compose,https://github.com/docker/awesome-compose,43801,HTML
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,43770,Python
iina/iina,https://github.com/iina/iina,43716,Swift
NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,43712,Python
FuelLabs/fuels-rs,https://github.com/FuelLabs/fuels-rs,43439,Rust
FuelLabs/fuels-ts,https://github.com/FuelLabs/fuels-ts,43398,TypeScript
streamlit/streamlit,https://github.com/streamlit/streamlit,43388,Python
lukasz-madon/awesome-remote-job,https://github.com/lukasz-madon/awesome-remote-job,43385,
SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,43332,Python
AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,43299,TypeScript
ghostty-org/ghostty,https://github.com/ghostty-org/ghostty,43180,Zig
getsentry/sentry,https://github.com/getsentry/sentry,43115,Python
spf13/cobra,https://github.com/spf13/cobra,43098,Go
upscayl/upscayl,https://github.com/upscayl/upscayl,43073,TypeScript
zhongyang219/TrafficMonitor,https://github.com/zhongyang219/TrafficMonitor,43030,C++
Unitech/pm2,https://github.com/Unitech/pm2,42920,JavaScript
Light-City/CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,42849,C++
helix-editor/helix,https://github.com/helix-editor/helix,42822,Rust
apache/spark,https://github.com/apache/spark,42772,Scala
faif/python-patterns,https://github.com/faif/python-patterns,42730,Python
Kong/kong,https://github.com/Kong/kong,42706,Lua
alex/what-happens-when,https://github.com/alex/what-happens-when,42681,
